id,monthly_airbnb_revenue,yearly_airbnb_revenue,total_reservation_days
1.00294E+18,1733.833333,20806,101
48456241,3762,45144,216
1.15237E+18,8.666666667,104,1
6.32753E+17,1489.583333,17875,275
9.85669E+17,832,9984,96
5.92736E+17,1159.166667,13910,107
6.39317E+17,5214,62568,237
9.72842E+17,1452.916667,17435,317
1.09645E+18,2.833333333,34,1
6.91696E+17,2512,30144,192
1.19515E+18,0,0,0
8.28634E+17,12.5,150,1
43806406,1125,13500,270
9.12606E+17,8.333333333,100,1
4711396,1740.75,20889,211
51621907,590,7080,177
53402699,5600,67200,192
7.91372E+17,79.5,954,18
1.12037E+18,370.3333333,4444,101
1.17758E+18,4.583333333,55,1
6.49968E+17,32.41666667,389,1
17263207,0,0,0
8.08441E+17,639.1666667,7670,118
96471,14.25,171,1
29269102,7.666666667,92,1
51487070,422.5,5070,39
6.38044E+17,5166,61992,216
